comment,Language,sentiment
nice and comfortable for longer rides hope it will last saddle is on the softer side,English,positive
i just recieve my parcel thank you seller,English,positive
parcel was secured and well packed no damage or scratch when i received the item kudos to the seller,English,positive
the product is good and sealed the correct item was delivered upgrade my stock pulley from 11t to 13t and it fits nicely hoping that this product will last ordered the item from 33 and received it at 39 almost 1week but still considerable because the item was from outside the philippines thank you to the seller for the good product and also thank you to the delivery guy till next transaction,English,Positive
quality ok,English,Positive
goods fit na fit sa frame ng tropa ko,Filipino,Positive
i bought this because magaan parin pero its easy to break because its alloy,Mixed/Other,Positive
makapal po kagaya ng original na nakakabit at wala namang issues mabilis din dumating maraming salamat,Filipino,Positive
salamat seller at sa rider diko na picturan pero napakagnda saktong saktosa uulitn,Filipino,Positive
i dont kniw if na satisfied yung nagpabili edit ko nalang review pag natry na nya salamat,Filipino,Positive
quality good,English,Positive
quality very good,English,Positive
nice,English,Positive
dumating napo hahaha good sya,Filipino,Positive
fast delivery,English,Positive
its extremely nice and quality affordable thanks seller also to delivery man,English,Positive
suitability okay,Filipino,Positive
true to description this item matches the description,English,Positive
good packaging and nice item look quality,English,Positive
quality nice sukat na sukat sa sagmit miami v20 ko salamat seller,Filipino,Positive
good na good,Mixed/Other,Positive
suitability thank u p,Filipino,Positive
the product arrived safely in front of the house the quality of the item is good,English,Positive
suitability very good,English,Positive
quality good,Mixed/Other,Positive
thank u at nadeliver ung productng mabilis naayos din agad ung bike ng tatay ko will definitely order again soon sainyo,Filipino,Positive
goods delivered with good quality,English,Positive
exact and affordable item was able to fix my shifting issues thanks seller,English,Positive
performance good,English,Positive
perfect fit for my frame,English,Positive
legit thanks seller,English,Positive
good to buy,English,Positive
true to description beautiful,English,Positive
very good product,English,Positive
stable and smooth,English,Positive
thanks po,English,Positive
quality 10,Mixed/Other,Positive
all goods ang iteam,Mixed/Other,Positive
quality good,Mixed/Other,Positive
suitability original,English,Positive
góod,English,Positive
suitability good,English,Positive
suitability good,English,Positive
performance good,English,Positive
suitability goods,English,Positive
performance good,English,Positive
quality 1010,Mixed/Other,Positive
good,English,Positive
ligit guys kaya order nyo na,Filipino,Positive
the quantity of the product is correct very satisfied,English,Positive
quality good for the price,English,Positive
just the right one thanks,English,Positive
good product for sure for sure,English,Positive
thanks seller for good quality products,English,Positive
legit and fast delivery eventhough overseas 3rd order on this shop,English,Positive
the seller is good and answers your message hope this shop to grow and goodluck,English,Positive
maayos ang pang packed ng item salamat seller kahit na mali order ko maganda at mabilis ang pag kakarecieve ko nung item thank youuuu,Filipino,Positive
performance havent test it yet but im sure its good,English,Positive
item receive in good condition and no damages thanks shoppe and seller,English,Positive
item received in good condition thanks seller and shoppe,English,Positive
good quality good material good service good packaging good supplierfast delivery,English,Positive
good quality and its very cheap thank you ztto keep up the good work and the good quality of your product thank you,English,Positive
di ko na ikinabit pangspare ko na lang pero legit sukat talaga sulit paghihintay ko salamat shoppe salamat seller,Filipino,Positive
product quality good product quality is good true to description true to description well done matches my bike,English,Positive
salamat sa page ship out pati sa pag hatid ng aking parcel ng walang anu mang sira kaya lang mali order ko sayang lang,Filipino,Positive
nice bike rear derailleur hanger i will order again next time it arrives faster,English,Positive
product quality aluminum material is aluminum true to description item as described the product is very good fits perfectly in the car,English,Positive
received the package safely take awhile to arrive but it still fastvery satisfied with the product recommended seller,English,Positive
fast shipping and the seller is very kind very good quality and cheap,English,Positive
thank you seller very good items fast shipping packed nice and recieved the items in good condition will buy again,English,Positive
i got my order everything is great and all goods thank u seller shopee and the delivery rider,English,Positive
the item is good the seller is so responsive and seller also gave me freebies thank you and will order again,English,Positive
efficacy the shipping speed is fast the packaging is very careful i dont know how many times i have repurchased,English,Positive
product quality true to the description dung mo ta nice product cheap ship is fast china vietnam has 5 days to receive goods received my car match so beautiful should buy it everyone,English,Positive
excellent quality nice product the item is so affordable and thick and fast shipping ship on time nice product,English,Positive
salamat po seller salamat sa nag deliver maganda ang item good to me,Filipino,Positive
yes na yes oo ganda,Filipino,Positive
maganda at malinis,Filipino,Positive
ndi pa nakabit pero okay naman thank you po,Filipino,Positive
legit seller third order thank you,Mixed/Other,Positive
goods na goods legit,Mixed/Other,Positive
good products good products good kualiti penghantaran pantas,Mixed/Other,Positive
i really trust this seller he never fail me,English,Positive
good packing quality looks great,English,Positive
best item has landed even though the goods are from china the delivery is deserves best will repeat buy again later,English,Positive
friendly seller and so smart thank you for free bies,English,Positive
good quality,Mixed/Other,Positive
maganda siya,Filipino,Positive
good quality thanks seller,English,Positive
oks pang reserba sa orig kong drop out,Filipino,Positive
thanks muka naman good quality,Filipino,Positive
item received in a good condition thank you seller will buy again 5 star,English,Positive
salamat seller ang ganda,Filipino,Positive
thank you seller,English,Positive
ordered x2 of the same item received two different parts one correct one incorrect customer service corrected by adding replacement to next order quality looks good well made,English,Positive
efficacy good very good,English,Positive
i went to trinx tr216 instead of being beautiful and going well level 1 is very delicious the problem is not hit by the flower spokes,English,Positive
item ok looks good too try it shop item ok looks good too have a try,English,Positive
product delivered as shown in the picture fast delivery pictures and videos are for illustration purposes only not related to the product,English,Positive
good product quality nice design will support the next purchase,English,Positive
nice,English,Positive
good,English,Positive
ok,English,Positive
brake pads received full metal material have not yet try it work or not but look good in hand and seller fast shipping,English,Positive
i ordered an order with dish brake pads and removed the cover as i thought and the material made is quite good for the price but will it work well or not i have to try it first,English,Positive
usage good i dont know how long it will last i have to try this brand before i have never used it i bought and tried 4 of them this is just a try a lot,English,Positive
usage excellent the package is really good it germinates the ziplock is excellent it is very organized it also says that i am sure that i ordered you a new one,English,Positive
received installed working may buy more as spare,English,Positive
ok sya maganda quality bibili ulet ako dto salamat sa seller sa mabilis na shipping sa uulitin po salamat,Filipino,Positive
very fast delivery and the packing and quality of product looks good,English,Positive
material quality feels good decent price and hopefully can last long bought for replacement of my zoom hydraulic brake caliper,English,Positive
thanks to the seller the delivery is very fast the item is also ok no problem thanks too shopee,English,Positive
prestigious shop beautiful stuff give the shop 5 stars thanks,English,Positive
looks very good impressive likeable hope its good and will last for the rides thanks,English,Positive
i recommend this shop as it hase a very good costumers service,English,Positive
quality goood,English,Positive
have to be tested the product yet affordable for its price hope it will last thank you seller and rider,English,Positive
efficacy good change the brakes before and after a bicycle shop to make them all together it will be more than 1500 i will buy it for myself i dont need 200 i havent installed it yet i dont know how it will work after the test is completed i hope i can have good motivation and its very cheap,English,Positive
the product is exactly as described complete as the picture fast delivery carefully packaged thank you store will support next time,English,Positive
thank you so much ztto for giving me what i requested for free i just need to buy one item from their shop thank you so much,English,Positive
thank you shopee and to seller i received my item in fast delivery in just 45days and safe yung packing and kompleto naman yung order ko very nice product sa murang halaga sana malakas yung kapit nya thank you sa rider na naka sasakyan sa susunod naman na order,Filipino,Positive
usage use brakes as brake pads the old brakes ran out so i bought this one and tried it for the first time i think it can be used without any problem fast delivery beautiful,English,Positive
true to the description dung elephant mo ta product quality hang rat chat luong will be happy to shop clean the picture of him video chat lay xu,English,Positive
items received well packed items with bubbles wrapped for protection will fix it to my foldie soon try it out thank you,English,Positive
product good quality reasonable price worth the wait not too late the product is in perfect condition the packaging is not damaged the price is low,English,Positive
accurate sizing will be installing this full metal brake pads on my shimano tourney tx calipers hopefully this one lasts longer compared to the stock brake pads salamat ztto,Mixed/Other,Positive
good to use no noise metal brakes cheap price works normally no problem very good value shipped from china wait about 7 days brake pads are iron,English,Positive
fast delivery and size is correct seller is responsive and will definitely get again in future thank you very much,English,Positive
thank god thank god i have received the item i bought at a cheap price good item,English,Positive
good quality correct description fast delivery nothing to complain about,English,Positive
item received in plastic packaging in a plastic envelope well protected thank you seller,English,Positive
very smooth to order veryfast delivered highly recommend to friends,English,Positive
very fast delivered very smooth to order highly recomend to friend,English,Positive
superb product highly rated will definetly order again thank you seller and shopee,English,Positive
fast delivery n highly recommended,English,Positive
the items are quality products and very affordable thank you ztto,English,Positive
product quality ok true to description true item is fine hehe,English,Positive
item received correctly and in good condition too thanks man,English,Positive
if youre reading this it means i have no complaints the five stars says it all,English,Positive
this is repeated order to keep theses brake pads as spare,English,Positive
thank god thank god i have received the item i bought at a cheap price good item,English,Positive
item received in good condition thanks,English,Positive
item received in plastic packaging in a plastic envelope well protected thank you seller,English,Positive
well packed and received very fast,English,Positive
usage fair i have received the product very fast shipping the product arrived in perfect condition exactly as ordered you have to try it again,English,Positive
product quality true to the description dung the quality is true to the product description the price is good the shop rating is 5 stars everyone should buy it,English,Positive
product quality good true to description true item is exactly as described good quality next time will support the shop again,English,Positive
usage good arrange soon or later one week neatly packed good product quality overpriced strong works well good value for money,English,Positive
the product is correct as ordered the store shipped very quickly delivered on time i havent tried it yet but it would be good next time will order again,English,Positive
fast delivery good packaging,English,Positive
true to the description no content lam product quality normal affordable matte printing peeling paintplating how to use it,English,Positive
received the product exactly as ordered good quality product the store ships quickly on time great value for money,English,Positive
good product good quality reasonable price worth the wait not too late the product is in perfect condition the packaging is not damaged the price is low,English,Positive
usage havent tried yet received the product the product is complete as ordered well packaged not damaged fast delivery the product arrived from abroad,English,Positive
performance good,English,Positive
performance good,English,Positive
suitability good,English,Positive
quality 1010,Mixed/Other,Positive
product quality temporarily ok true to description true fast delivery fast packing good packing in general which product is it,English,Positive
thanks,English,Positive
good,English,Positive
goods,English,Positive
nice,English,Positive
ok fine,English,Positive
